"Number of shapes (box)"	"GFlops"	"-Ofast - seconds"	"-Ofast - cycles"	"-Ofast - flops/cycle"
10	39.786595942	23.464255	60819369934.0	0.654176391257845
20	79.730194457	46.406943	120286840820.0	0.6628338886737419
30	118.46693593	67.405221	174714397376.0	0.6780605245430875
40	166.091586514	92.082615	238678226858.0	0.6958807625666461
50	188.362008648	99.855928	258826659434.0	0.7277535052220219
60	217.271799734	118.91941	308239225346.0	0.7048804365833432
70	242.89433737	129.999629	336959162514.0	0.720842061565571
80	310.338710956	164.235897	425699604454.0	0.7290086899517766
90	319.309174414	168.902105	437794418240.0	0.729358715210832
100	389.022022428	195.340336	506322337128.0	0.7683287777399674
