"Number of shapes (octahedron)"	"GFlops"	"-Ofast - seconds"	"-Ofast - cycles"	"-Ofast - flops/cycle"
10	33.632888657	8.101197	20998312154.0	1.6016948605363608
20	65.6610043	15.975585	41408729770.0	1.5856802337262326
30	95.443179523	23.784506	61649460986.0	1.548159189010172
40	131.778051459	33.649461	87219436734.0	1.5108794139647328
50	161.557934816	42.525971	110227359082.0	1.465679085133613
60	196.157294202	53.603145	138939403748.0	1.4118190298108548
70	225.924248498	62.676897	162458576026.0	1.3906575696061925
80	245.062634948	71.901195	186367965374.0	1.3149396917877627
90	282.193892413	84.906945	220078882070.0	1.2822397576667226
100	313.040138192	96.078501	249035566096.0	1.2570097641046463
