"Width [pixels]"	"GFlops"	"-Ofast - seconds"	"-Ofast - cycles"	"-Ofast - flops/cycle"
200	0.258935969	0.07268	188385254.0	1.3745023217156902
400	1.035179946	0.289155	749490790.0	1.3811776739778217
600	2.329534983	0.637822	1653234174.0	1.4090774432539646
800	4.140124124	1.135714	2943771158.0	1.4064014836033665
1000	6.468911009	1.790485	4640938066.0	1.3938800554982456
1200	9.316494628	2.569565	6660315698.0	1.3988067608863666
1400	12.679012728	3.51718	9116532632.0	1.3907713864255051
1600	16.559876677	4.56718	11838135280.0	1.3988585436236036
1800	20.957756554	5.782246	14987587046.0	1.398340939717402
2000	25.873873694	7.124689	18467200416.0	1.4010717981694103
2200	31.309338165	8.626161	22359017174.0	1.4003002869646617
2400	37.26119059	10.230297	26516938032.0	1.4051845105582739
2600	43.729025998	12.419331	32190918316.0	1.358427416351933
2800	50.715607629	13.934357	36117864794.0	1.4041695963551262
3000	58.219356698	15.985065	41433304674.0	1.4051342792006039
3200	66.240471758	18.166027	47086357456.0	1.4067869195424305
3400	74.780011963	20.563163	53299737874.0	1.403009000527904
3600	83.833983243	23.115261	59914780084.0	1.3992204114822
3800	93.407677561	25.6399	66458647830.0	1.4055007227943477
4000	103.499961756	28.392777	73594103126.0	1.406362158919151
