"Number of shapes (cone)"	"GFlops"	"-Ofast - seconds"	"-Ofast - cycles"	"-Ofast - flops/cycle"
10	55.319251166	31.358889	81282271258.0	0.6805820052740633
20	101.997359932	56.641126	146813851582.0	0.6947393507691703
30	155.159284383	85.810457	222420787782.0	0.6975934485722413
40	209.2986847	112.50312	291608194696.0	0.7177393794375112
50	249.135524531	135.542027	351325064632.0	0.7091310857423744
60	302.479134356	163.969168	425008242238.0	0.7117018078595637
70	357.687108539	191.312384	495881882966.0	0.7213151373863051
80	382.985610094	202.490378	524855254594.0	0.7296975818414112
90	444.783435755	232.114659	601641420406.0	0.7392832685203937
100	464.758067682	251.657924	652297580370.0	0.712493931708864
