"Number of shapes (sphere)"	"GFlops"	"-Ofast - seconds"	"-Ofast - cycles"	"-Ofast - flops/cycle"
10	11.516189738	3.470368	8995195762.0	1.2802600457735318
20	21.554478439	6.157225	15959531228.0	1.3505708990489655
30	30.950960169	8.461406	21931970260.0	1.41122570394184
40	39.990517444	10.756689	27881348764.0	1.4343107208513235
50	51.08316352	13.798273	35765135098.0	1.4282949967902285
60	57.389426214	15.524033	40238308592.0	1.4262385329340088
70	64.378461932	17.498433	45355956230.0	1.4194047989096932
80	73.61471928	20.152259	52234673980.0	1.4093075283323515
90	85.201151596	23.156137	60020728818.0	1.4195287740399527
100	92.826979037	25.106282	65075507512.0	1.4264503280267555
