"Number of shapes (octahedron)"	"GFlops"	"-Ofast - seconds"	"-Ofast - cycles"	"-Ofast - flops/cycle"
10	40.491738061	23.287883	60362215388.0	0.6708126565720739
20	79.254005477	45.165917	117070102246.0	0.6769790403912278
30	115.295845647	66.118697	171379725334.0	0.6727507902250469
40	159.28269168	91.561687	237327982664.0	0.6711500679020493
50	195.282506723	113.673658	294642232996.0	0.6627783964889077
60	237.186415765	140.897714	365207010700.0	0.6494574551303924
70	273.243145635	161.247196	417952887752.0	0.6537654210374396
80	296.341472175	177.762635	460760920726.0	0.6431566976384808
90	341.203205519	203.813815	528285603792.0	0.6458688313099304
100	378.548138422	229.554488	595005453566.0	0.6362095274140377
