"Number of shapes (torus)"	"GFlops"	"-Ofast - seconds"	"-Ofast - cycles"	"-Ofast - flops/cycle"
10	21.488957761	5.502491	14262462134.0	1.5066793909147635
20	42.752141165	10.716674	27777631090.0	1.5390852094796108
30	51.221731935	12.61116	32688139654.0	1.5669821677579645
40	69.763375446	17.128916	44398167920.0	1.571312031877193
50	79.891949362	19.393362	50267611052.0	1.5893325282427826
60	103.180146834	24.996588	64791179454.0	1.5925029873434413
70	109.432562871	26.624521	69010784472.0	1.5857313274768015
80	125.156503107	30.407009	78814996660.0	1.5879782834593348
90	136.346836049	33.009892	85561670374.0	1.5935504233731312
100	144.475564449	34.859954	90357034564.0	1.5989409695231618
