"Number of shapes (torus)"	"GFlops"	"-Ofast - seconds"	"-Ofast - cycles"	"-Ofast - flops/cycle"
10	27.305719939	6.659176	17260592312.0	1.5819688829575318
20	54.925112794	13.3616	34633280260.0	1.5859055908555166
30	65.900853057	15.760155	40850336888.0	1.6132266727121831
40	89.873821236	21.36699	55383259912.0	1.6227614874747895
50	103.153728024	24.70167	64026752698.0	1.611103541523545
60	133.316649305	31.770926	82350270476.0	1.618897528015449
70	141.486956883	33.865941	87780550870.0	1.611825802876737
80	161.854785335	38.729776	100387617044.0	1.6122983102991564
90	176.429183271	42.164702	109290950284.0	1.6143073402924644
100	187.021250075	44.676639	115801892500.0	1.6150103080137486
