"Number of shapes (cone)"	"GFlops"	"-Ofast - seconds"	"-Ofast - cycles"	"-Ofast - flops/cycle"
10	47.347561065	12.231413	31703832986.0	1.4934333361492305
20	87.166756425	22.317268	57846378576.0	1.5068662649378848
30	132.51480089	34.11219	88418828228.0	1.4987169989212312
40	178.683396221	45.831698	118795806182.0	1.5041220895226703
50	212.647683237	54.965307	142470127698.0	1.4925773330375498
60	258.175524534	67.463914	174866528880.0	1.4764147615188825
70	305.242233918	79.821954	206898581644.0	1.4753229891310466
80	326.971424669	85.675227	222070273342.0	1.4723781789805188
90	379.557288517	100.151165	259591916126.0	1.4621306170904473
100	396.568352533	105.657037	273863141748.0	1.4480530311666013
