"Width [pixels]"	"GFlops"	"-Ofast - seconds"	"-Ofast - cycles"	"-Ofast - flops/cycle"
200	0.300591219	0.078425	203275992.0	1.478734483312717
400	1.201711737	0.309328	801779696.0	1.4988053987837577
600	2.704308762	0.692782	1795691436.0	1.5059985851600397
800	4.806163262	1.23987	3213744980.0	1.4955023786610473
1000	7.509592053	1.930694	5004358670.0	1.5006102776002663
1200	10.815293217	2.793521	7240810448.0	1.4936578294198153
1400	14.718741555	3.779376	9796146426.0	1.5025032206475515
1600	19.2239468	4.928338	12774255894.0	1.504897581473171
1800	24.329329519	6.22799	16142953926.0	1.5071175715749856
2000	30.036328851	7.68336	19915278024.0	1.5082053494208352
2200	36.346228959	9.29128	24083007676.0	1.5092063851817377
2400	43.255584982	11.057608	28661330998.0	1.5091966589066779
2600	50.763924603	12.981562	33648221650.0	1.508665900118974
2800	58.874486926	15.039297	38981872320.0	1.5103042368694517
3000	67.58537893	17.267289	44756828498.0	1.5100573744410892
3200	76.896897975	19.615488	50843363626.0	1.512427433807249
3400	86.810247006	22.148028	57407708898.0	1.5121705546591555
3600	97.320770812	24.820704	64335287452.0	1.5127121470407696
3800	108.434616045	27.66264	71701588572.0	1.512304234879177
4000	120.150506419	30.650525	79446189616.0	1.5123507747790386
