"Number of shapes (all)"	"GFlops"	"-Ofast - seconds"	"-Ofast - cycles"	"-Ofast - flops/cycle"
10	33.816151999	8.04837	20861382994.0	1.6209928176250805
20	66.083884237	15.506523	40192924122.0	1.644167118481144
30	100.353421387	23.514882	60950597270.0	1.6464715012135598
40	125.398626923	29.511647	76494217816.0	1.639321644214144
50	157.839904029	37.292059	96661054102.0	1.6329214024755205
60	179.95818235	42.210397	109409389904.0	1.644814786993166
70	177.996197348	42.082132	109076927820.0	1.6318409484518246
80	218.246053608	51.500434	133489175262.0	1.6349344670056367
90	259.85122856	61.438855	159249571780.0	1.631723248329855
100	235.253940984	55.574327	144048707778.0	1.6331555111661296
