"Number of shapes (all)"	"GFlops"	"-Ofast - seconds"	"-Ofast - cycles"	"-Ofast - flops/cycle"
10	28.760479701	7.294405	18907104652.0	1.521146692228083
20	55.781611633	13.768044	35686781830.0	1.5630888741586482
30	84.457523953	20.579308	53341586016.0	1.5833335725650652
40	105.469789914	26.104687	67663374164.0	1.5587426908147708
50	132.556401178	32.613783	84534955238.0	1.5680661426365017
60	151.031557187	37.219341	96472567708.0	1.5655388964470953
70	149.379695683	36.855109	95528477862.0	1.5637189980017605
80	183.032168886	45.183467	117115588742.0	1.5628335292683457
90	217.702131464	53.218573	137942591266.0	1.5782082202892405
100	197.120794268	48.658182	126122053828.0	1.5629367607415046
