"Number of shapes (box)"	"GFlops"	"-Ofast - seconds"	"-Ofast - cycles"	"-Ofast - flops/cycle"
10	39.660833844	8.521788	22088481438.0	1.795543707036797
20	79.602374161	17.189211	44554450794.0	1.7866312510291291
30	118.346715532	26.916253	69766955058.0	1.6963147586649545
40	165.977343528	35.819714	92844731092.0	1.7876872664269206
50	188.269707722	43.800651	113531331300.0	1.658306174746671
60	217.173081118	47.104626	122095236146.0	1.778718711500808
70	242.810062616	53.026678	137445201064.0	1.7665954193841797
80	310.24450928	67.652999	175356638990.0	1.7692202078399335
90	319.224073312	69.733337	180748877768.0	1.766119254813519
100	388.946096776	85.397395	221350131028.0	1.7571532258401947
