"Number of shapes (sphere)"	"GFlops"	"-Ofast - seconds"	"-Ofast - cycles"	"-Ofast - flops/cycle"
10	10.297974899	3.342688	8664250368.0	1.1885592476683149
20	19.370122462	6.168408	15988518482.0	1.2115020215166925
30	27.895783365	8.644081	22405466360.0	1.245043638761376
40	36.273948343	11.181193	28981664160.0	1.251617165347761
50	46.358769511	14.387344	37292009068.0	1.2431287739544212
60	52.18210443	16.356438	42395901040.0	1.2308289987932286
70	58.596445013	18.452388	47828608886.0	1.225133792886706
80	67.071756673	21.580801	55937455354.0	1.1990491209965954
90	77.666762883	24.814747	64319848364.0	1.207508488568986
100	84.554885378	26.945511	69842789394.0	1.2106458821540693
